,0,1,2
PC1,-1.1002167463302612,-0.6461683511734009,0.388232558965683
PC2,-1.0909889936447144,-0.6220911741256714,0.41912081837654114
PC3,-1.1826013326644897,-0.8676738142967224,0.7380146980285645
PC4,-1.14634370803833,-1.0021858215332031,0.8923342823982239
PC5,-1.0917962789535522,-0.9542321562767029,0.7294524312019348
PC6,-1.1020177602767944,-0.9008064270019531,0.831823468208313
PC7,-0.9813394546508789,-0.8915281891822815,0.5482275485992432
PC8,-1.0679216384887695,-0.8778516054153442,0.40694114565849304
PC9,-0.9572694897651672,-0.5057929754257202,-0.027889138087630272
PC10,-0.891319215297699,-0.5227158069610596,0.039261557161808014
PC11,-0.9734503626823425,-0.526949405670166,0.04954896494746208
PC12,-0.903892457485199,-0.2630988359451294,-0.22163930535316467
PC13,-0.433337926864624,0.2575749158859253,-0.7448490262031555
PC14,-0.6813039779663086,0.24114581942558289,-0.6725472211837769
PC15,-0.5911546945571899,0.6354221105575562,-0.978563666343689
PC16,-0.46688446402549744,1.1456284523010254,-1.32819664478302
PC17,-0.3169415295124054,1.474808692932129,-1.508763313293457
PC18,-0.2445729374885559,1.4996249675750732,-1.1620111465454102
PC19,-0.35044318437576294,1.3730721473693848,-1.2090681791305542
PC20,-0.3725892901420593,1.4773523807525635,-0.7300896048545837
PC21,0.011311919428408146,1.7634977102279663,0.2891136705875397
PC22,0.15039604902267456,1.9285244941711426,0.6411272883415222
PC23,0.5109167098999023,1.6985628604888916,1.5487253665924072
PC24,0.838470995426178,0.9796082377433777,1.3697381019592285
PC25,1.024918556213379,0.4786107540130615,1.1474006175994873
PC26,1.246177315711975,-0.010467451997101307,1.1949020624160767
PC27,1.2171989679336548,-0.008413662202656269,1.066854476928711
PC28,1.232920527458191,-0.03929595649242401,0.6417075395584106
PC29,1.4723641872406006,-0.2878892719745636,0.424107164144516
PC30,1.4015990495681763,-0.43614310026168823,0.25031423568725586
PC31,1.3497272729873657,-0.6925855875015259,0.14376583695411682
PC32,1.5100455284118652,-1.0245598554611206,-0.3761806786060333
PC33,1.5016504526138306,-1.079698085784912,-0.6441657543182373
PC34,1.465291976928711,-1.129952073097229,-0.7429625988006592
PC35,1.0133957862854004,-1.6633338928222656,-3.413787841796875
